Date,Auction Price â‚¬/tCO2
2018-01-08,7.83
2018-01-09,7.68
2018-01-11,7.89
2018-01-15,7.72
2018-01-16,7.77
2018-01-18,8.26
2018-01-22,8.7
2018-01-23,8.88
2018-01-25,9.34
2018-01-29,9.06
2018-01-30,8.86
2018-02-01,9.37
2018-02-05,8.66
2018-02-06,8.84
2018-02-08,8.93
2018-02-12,9.08
2018-02-13,9.53
2018-02-15,9.64
2018-02-19,9.58
2018-02-20,9.7
2018-02-22,9.56
2018-02-26,9.56
2018-02-27,9.54
2018-03-01,9.92
2018-03-05,10.05
2018-03-06,10.28
2018-03-08,10.77
2018-03-12,11.32
2018-03-13,11.03
2018-03-15,11.09
2018-03-19,10.96
2018-03-20,11.17
2018-03-22,12.54
2018-03-26,12.8
2018-03-27,13.26
2018-04-03,12.9
2018-04-05,12.65
2018-04-09,12.96
2018-04-10,13.1
2018-04-12,13.15
2018-04-16,13.84
2018-04-17,13.82
2018-04-19,13.99
2018-04-23,12.75
2018-04-24,12.73
2018-04-26,13.39
2018-04-30,13.35
2018-05-03,12.77
2018-05-08,13.51
2018-05-14,14.2
2018-05-15,14.7
2018-05-17,15.05
2018-05-22,15.88
2018-05-23,15.74
2018-05-24,16.23
2018-05-29,16.25
2018-05-31,15.4
2018-06-04,15.28
2018-06-05,16.35
2018-06-07,16.14
2018-06-11,15.7
2018-06-12,15.08
2018-06-14,15.44
2018-06-18,14.52
2018-06-19,14.35
2018-06-21,14.2
2018-06-25,15.03
2018-06-26,14.86
2018-06-28,15.22
2018-07-02,14.95
2018-07-03,15.15
2018-07-05,15.4
2018-07-09,15.85
2018-07-10,16.15
2018-07-12,16.22
2018-07-16,16.14
2018-07-17,15.87
2018-07-18,16.01
2018-07-19,16.46
2018-07-23,17.2
2018-07-24,17.45
2018-07-26,16.99
2018-07-30,16.9
2018-07-31,16.87
2018-08-02,17.58
2018-08-06,17.62
2018-08-07,17.47
2018-08-09,17.47
2018-08-13,17.93
2018-08-14,18.03
2018-08-16,18
2018-08-20,18.2
2018-08-21,18.55
2018-08-23,20.05
2018-08-28,21.3
2018-08-30,21.09
2018-09-03,20.45
2018-09-04,20.5
2018-09-10,24.85
2018-09-11,24.15
2018-09-12,23.75
2018-09-13,21.9
2018-09-17,20.6
2018-09-18,20.75
2018-09-20,21.8
2018-09-24,22.39
2018-09-25,21.9
2018-09-27,19.87
2018-10-01,20.7
2018-10-02,21.45
2018-10-04,21.15
2018-10-08,22.09
2018-10-09,21.32
2018-10-11,18.57
2018-10-15,20.03
2018-10-16,17.9
2018-10-18,18.53
2018-10-22,19.1
2018-10-23,18.5
2018-10-25,18.72
2018-10-29,17.91
2018-10-30,16.87
2018-11-01,15.85
2018-11-05,16.4
2018-11-06,16.99
2018-11-08,19.56
2018-11-12,20.01
2018-11-13,19.76
2018-11-15,18.46
2018-11-19,18.43
2018-11-20,19.4
2018-11-21,20.1
2018-11-22,20.3
2018-11-26,19.71
2018-11-27,19.77
2018-11-29,19.35
2018-12-03,20.52
2018-12-04,20.35
2018-12-06,18.55
2018-12-10,19.77
2018-12-11,20.77
2018-12-13,21.88
2018-12-17,23.4
2019-01-07,23.01
2019-01-08,22.4
2019-01-10,21.4
2019-01-14,21.95
2019-01-15,22.55
2019-01-16,22.81
2019-01-17,23.55
2019-01-21,24.22
2019-01-22,24.42
2019-01-24,24.6
2019-01-28,23.01
2019-01-29,22.43
2019-01-31,22.3
2019-02-04,21.38
2019-02-05,22.93
2019-02-07,23.8
2019-02-11,21.8
2019-02-12,21.71
2019-02-14,20.86
2019-02-18,20.14
2019-02-19,20.26
2019-02-21,19.85
2019-02-25,18.62
2019-02-26,19.6
2019-02-28,20.9
2019-03-04,22.12
2019-03-05,22.86
2019-03-07,22.03
2019-03-11,22.6
2019-03-12,22.48
2019-03-13,21.98
2019-03-14,22.23
2019-03-18,21.5
2019-03-19,21.35
2019-03-21,21.1
2019-03-25,20.6
2019-03-26,21.17
2019-03-28,21.55
2019-04-01,21.06
2019-04-02,21.4
2019-04-04,23.65
2019-04-08,24.07
2019-04-09,25.2
2019-04-11,25.88
2019-04-15,27
2019-04-16,26.8
2019-04-18,26.92
2019-04-23,27.17
2019-04-25,27.46
2019-04-29,25.81
2019-04-30,25.85
2019-05-02,25.04
2019-05-07,25.65
2019-05-08,26.5
2019-05-09,26.81
2019-05-13,25.25
2019-05-14,25.03
2019-05-16,25.81
2019-05-20,24.91
2019-05-21,25.01
2019-05-23,26.05
2019-05-28,25.3
2019-06-03,23.96
2019-06-04,23.86
2019-06-06,24.07
2019-06-11,25.12
2019-06-13,24.92
2019-06-17,24.78
2019-06-18,24.98
2019-06-20,24.86
2019-06-24,25.64
2019-06-27,27.1
2019-07-01,26.72
2019-07-02,27.22
2019-07-04,26.22
2019-07-08,26.6
2019-07-09,26.68
2019-07-11,28.5
2019-07-15,29.15
2019-07-16,29.1
2019-07-17,28.37
2019-07-18,27.99
2019-07-22,28.96
2019-07-23,29.05
2019-07-25,29.46
2019-07-29,28.8
2019-07-30,28.18
2019-08-01,28.9
2019-08-05,28.82
2019-08-06,28.48
2019-08-08,28.68
2019-08-12,27.7
2019-08-13,27.1
2019-08-15,26.41
2019-08-19,26.25
2019-08-20,26.94
2019-08-22,25.78
2019-08-27,25.25
2019-08-29,25.93
2019-09-02,25.4
2019-09-03,24.82
2019-09-09,25.01
2019-09-10,25.5
2019-09-11,26.34
2019-09-12,26.55
2019-09-16,26.58
2019-09-17,26.75
2019-09-19,25.56
2019-09-23,25.93
2019-09-24,25.59
2019-09-26,25.21
2019-09-30,25.03
2019-10-01,24.4
2019-10-03,24.03
2019-10-07,22.77
2019-10-08,23.37
2019-10-10,22.83
2019-10-14,23.82
2019-10-15,24.48
2019-10-17,25.96
2019-10-21,25.9
2019-10-22,25.7
2019-10-24,24.61
2019-10-28,24.68
2019-10-29,25.4
2019-10-31,25.95
2019-11-04,24.93
2019-11-05,25.8
2019-11-06,25.18
2019-11-07,24.86
2019-11-11,25.21
2019-11-12,24.95
2019-11-14,24.28
2019-11-18,23.41
2019-11-19,23.62
2019-11-21,23.96
2019-11-25,24.52
2019-11-26,24.29
2019-11-28,24.91
2019-12-02,24.62
2019-12-03,24.41
2019-12-05,24.5
2019-12-09,24.4
2019-12-10,24.98
2019-12-12,24.62
2019-12-16,24.21
2020-01-07,24.06
2020-01-09,24.01
2020-01-13,24.03
2020-01-14,23.74
2020-01-15,24.08
2020-01-16,24.85
2020-01-20,25.6
2020-01-21,25.1
2020-01-23,24.65
2020-01-27,24.04
2020-01-28,24.55
2020-01-30,23.74
2020-02-03,23.2
2020-02-04,23.33
2020-02-06,23.4
2020-02-10,22.91
2020-02-11,23.15
2020-02-13,23.52
2020-02-17,24.11
2020-02-18,24.8
2020-02-20,25.5
2020-02-24,24.64
2020-02-25,24.32
2020-02-27,23.8
2020-03-02,23.96
2020-03-03,23.26
2020-03-05,23.9
2020-03-09,22.65
2020-03-10,23.76
2020-03-11,23.59
2020-03-12,22.85
2020-03-16,20.64
2020-03-19,16.03
2020-03-23,14.6
2020-03-24,16.25
2020-03-26,16.3
2020-03-30,16.32
2020-03-31,17.4
2020-04-02,17.52
2020-04-06,18.36
2020-04-07,21.11
2020-04-09,21.4
2020-04-14,20.17
2020-04-16,20.1
2020-04-20,21.24
2020-04-21,20.4
2020-04-23,20.24
2020-04-27,20.4
2020-04-28,19.99
2020-04-30,19.97
2020-05-05,19.01
2020-05-06,17.75
2020-05-07,19.0
2020-05-11,18.81
2020-05-12,18.72
2020-05-14,18.37
2020-05-18,19.3
2020-05-19,20.02
2020-05-26,21.45
2020-05-28,20.95
2020-06-02,21.15
2020-06-04,21.77
2020-06-08,22.66
2020-06-09,22.3
2020-06-11,22.2
2020-06-15,21.8
2020-06-16,22.87
2020-06-18,23.63
2020-06-22,24.15
2020-06-23,24.85
2020-06-25,25.15
2020-06-29,24.74
2020-06-30,25.99
2020-07-01,27.1
2020-07-02,27.25
2020-07-06,28.86
2020-07-07,29.34
2020-07-09,28.48
2020-07-13,30.04
2020-07-14,29.2
2020-07-16,28.13
2020-07-20,26.85
2020-07-21,26.34
2020-07-23,26.76
2020-07-27,25.53
2020-07-28,25.03
2020-07-30,25.34
2020-08-03,25.81
2020-08-04,25.95
2020-08-06,26.95
2020-08-10,26.92
2020-08-11,26.71
2020-08-13,25.94
2020-08-17,25.42
2020-08-18,26.05
2020-08-20,25.7
2020-08-24,26.6
2020-08-25,27.33
2020-08-27,28.03
2020-09-01,28.28
2020-09-07,26.9
2020-09-08,27.25
2020-09-09,26.02
2020-09-10,27.46
2020-09-14,28.66
2020-09-15,29.99
2020-09-17,29.1
2020-09-21,27.12
2020-09-22,26.75
2020-09-24,26.28
2020-09-28,26.28
2020-09-29,27.09
2020-10-01,26.41
2020-10-05,26.79
2020-10-06,26.68
2020-10-08,26.4
2020-10-12,25.54
2020-10-13,25.3
2020-10-15,25.15
2020-10-19,24.85
2020-10-20,24.44
2020-10-22,23.6
2020-10-26,24.33
2020-10-27,23.55
2020-10-29,23.07
2020-11-02,23.02
2020-11-03,24.4
2020-11-04,23.83
2020-11-05,25.55
2020-11-09,25.41
2020-11-10,26.47
2020-11-12,25.9
2020-11-16,26.67
2020-11-17,27.12
2020-11-19,26.72
2020-11-23,27.25
2020-11-24,26.97
2020-11-26,27.77
2020-11-30,28.82
2020-12-01,29.24
2020-12-03,29.1
2020-12-07,29.49
2020-12-08,29.69
2020-12-10,30.04
2020-12-14,30.92
2021-02-01,32.66
2021-02-02,33.2
2021-02-04,36.51
2021-02-08,38.62
2021-02-09,37.58
2021-02-11,39.62
2021-02-15,39.82
2021-02-16,40.19
2021-02-18,38.01
2021-02-22,36.84
2021-02-23,37.5
2021-02-25,38.88
2021-03-01,37.66
2021-03-02,37.25
2021-03-04,36.9
2021-03-08,38.41
2021-03-09,39.4
2021-03-11,40.92
2021-03-15,42.84
2021-03-16,41.92
2021-03-17,41.9
2021-03-18,43.35
2021-03-22,41.8
2021-03-23,41.77
2021-03-25,40.69
2021-03-29,40.71
2021-03-30,42.25
2021-04-01,42.04
2021-04-06,43.05
2021-04-08,43.45
2021-04-12,43.86
2021-04-13,44.1
2021-04-15,43.99
2021-04-19,44.66
2021-04-20,44.2
2021-04-22,46.6
2021-04-26,47.24
2021-04-27,46.55
2021-04-29,47.25
2021-05-04,49.33
2021-05-06,49.45
2021-05-10,51.81
2021-05-11,51.59
2021-05-12,54.22
2021-05-17,55.57
2021-05-18,55.53
2021-05-20,50.84
2021-05-25,53.09
2021-05-27,52.11
2021-06-01,52.58
2021-06-03,51.9
2021-06-07,48.56
2021-06-08,52.03
2021-06-10,53.3
2021-06-14,53.6
2021-06-15,51.18
2021-06-17,50.84
2021-06-21,52.09
2021-06-22,52.97
2021-06-24,54.85
2021-06-28,55.06
2021-06-29,55.39
2021-07-01,58.01
2021-07-05,57.91
2021-07-06,57.15
2021-07-07,53.15
2021-07-08,51.09
2021-07-12,52.5
2021-07-13,52.44
2021-07-15,52.28
2021-07-19,53.55
2021-07-20,51.74
2021-07-22,51.44
2021-07-26,51.79
2021-07-27,52.8
2021-07-29,54.02
2021-08-02,54.6
2021-08-03,54.17
2021-08-05,54.84
2021-08-09,56.0
2021-08-10,57.1
2021-08-12,57.36
2021-08-16,57.18
2021-08-17,57.4
2021-08-19,55.81
2021-08-23,55.95
2021-08-24,55.72
2021-08-26,55.61
2021-08-31,60.11
2021-09-06,62.87
2021-09-07,61.71
2021-09-09,61.98
2021-09-13,61.91
2021-09-14,61.51
2021-09-15,60.0
2021-09-16,59.89
2021-09-20,58.56
2021-09-21,60.31
2021-09-23,59.45
2021-09-27,64.0
2021-09-28,65.0
2021-09-30,61.37
2021-10-04,63.56
2021-10-05,63.66
2021-10-07,58.99
2021-10-11,59.33
2021-10-12,58.86
2021-10-14,59.43
2021-10-18,58.85
2021-10-19,57.58
2021-10-21,57.1
2021-10-25,58.94
2021-10-26,58.96
2021-10-28,58.93
2021-11-01,59.98
2021-11-02,57.8
2021-11-04,59.81
2021-11-08,60.06
2021-11-09,60.11
2021-11-10,61.53
2021-11-11,62.31
2021-11-15,64.4
2021-11-16,67.5
2021-11-18,66.51
2021-11-22,69.7
2021-11-23,69.88
2021-11-25,72.15
2021-11-29,74.48
2021-11-30,74.82
2021-12-02,77.1
2021-12-06,80.0
2021-12-07,82.87
2021-12-09,84.93
2021-12-13,85.0
2021-12-14,79.99
2021-12-16,80.5
2021-12-20,74.57
2022-01-10,82.71
2022-01-11,81.9
2022-01-13,79.05
2022-01-17,80.21
2022-01-18,79.22
2022-01-20,80.8
2022-01-24,85.75
2022-01-25,84.48
2022-01-27,88.51
2022-01-31,88.03
2022-02-03,92.65
2022-02-07,93.5
2022-02-08,97.51
2022-02-09,96.53
2022-02-10,90.6
2022-02-14,90.73
2022-02-15,90.35
2022-02-17,87.5
2022-02-21,87.99
2022-02-22,88.4
2022-02-24,88.0
2022-02-28,80.92
2022-03-01,79.96
2022-03-03,63.87
2022-03-07,57.91
2022-03-08,62.01
2022-03-10,70.04
2022-03-14,78.6
2022-03-15,75.55
2022-03-17,76.87
2022-03-21,77.76
2022-03-22,79.05
2022-03-24,76.15
2022-03-28,80.76
2022-03-29,80.51
2022-03-31,79.25
2022-04-04,77.5
2022-04-05,78.33
2022-04-06,78.34
2022-04-07,77.13
2022-04-11,79.02
2022-04-12,77.36
2022-04-14,78.8
2022-04-19,79.4
2022-04-21,85.9
2022-04-25,85.81
2022-04-26,83.43
2022-04-28,80.55
2022-05-02,82.84
2022-05-03,84.25
2022-05-05,87.8
2022-05-09,90.11
2022-05-10,86.5
2022-05-12,86.95
2022-05-16,88.81
2022-05-17,90.33
2022-05-19,82.28
2022-05-23,78.96
2022-05-24,78.88
2022-05-30,83.75
2022-05-31,83.63
2022-06-07,81.69
2022-06-09,80.21
2022-06-13,80.1
2022-06-14,82.31
2022-06-15,84.45
2022-06-16,85.95
2022-06-20,83.51
2022-06-21,84.26
