Variable:,tas
Country:,Sweden
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.81,-11.79,-5.83,0.90,6.83,12.40,17.16,13.72,9.18,5.91,-5.11,-10.36
1902,-8.49,-9.84,-7.31,-1.60,3.67,9.49,10.68,10.29,6.21,0.47,-3.84,-8.47
1903,-9.40,-4.15,-1.10,-0.43,6.05,10.60,12.39,11.20,8.12,-0.36,-3.92,-5.68
1904,-5.52,-11.60,-5.95,1.09,4.84,10.42,12.56,11.47,8.06,3.06,-5.78,-9.42
1905,-9.71,-6.77,-3.95,-1.46,6.52,13.12,13.86,11.50,7.44,-1.03,-3.80,-4.86
1906,-6.65,-6.95,-6.50,1.72,6.78,11.81,13.89,11.41,7.80,3.03,-1.70,-7.90
1907,-9.55,-6.77,-2.68,0.74,4.50,10.97,12.10,9.85,7.02,5.35,-1.47,-8.93
1908,-7.31,-6.74,-6.04,0.33,5.08,10.31,13.70,12.69,7.42,4.25,-5.95,-5.74
1909,-5.51,-9.38,-7.15,-1.81,3.23,10.78,12.88,11.62,7.81,4.93,-6.98,-7.38
1910,-8.28,-3.91,-2.59,1.17,7.02,11.67,12.97,11.98,8.24,2.45,-4.64,-6.67
1911,-6.97,-7.27,-3.87,0.50,7.76,10.48,13.00,13.78,8.66,1.11,-3.78,-4.00
1912,-12.48,-10.80,-2.92,-0.37,5.57,11.75,15.10,12.53,6.46,0.82,-3.96,-5.42
1913,-10.75,-5.91,-3.10,1.52,6.78,11.19,14.20,12.14,8.19,2.25,-0.57,-8.50
1914,-8.46,-4.88,-4.78,2.39,5.76,12.03,16.87,12.49,8.28,1.87,-3.68,-4.93
1915,-11.14,-7.99,-7.85,0.39,4.51,9.45,13.71,11.80,6.58,0.59,-5.88,-14.69
1916,-7.55,-7.37,-7.19,0.77,5.16,10.31,15.18,10.93,6.59,0.24,-1.19,-6.99
1917,-13.28,-10.41,-9.10,-2.23,4.91,13.38,12.89,14.90,8.00,2.83,-3.23,-8.69
1918,-12.71,-6.98,-3.65,1.16,6.80,10.13,14.58,11.71,6.99,3.83,-0.38,-7.26
1919,-7.23,-10.16,-6.05,-0.42,7.96,11.47,15.10,10.70,8.27,1.16,-7.38,-10.61
1920,-8.37,-4.64,-0.31,1.78,7.64,11.19,14.12,11.47,8.92,2.10,-1.67,-6.87
1921,-8.23,-7.01,-1.30,3.58,8.40,10.44,12.59,11.85,7.42,2.35,-6.32,-6.71
1922,-11.73,-9.75,-5.56,-0.73,6.55,11.41,13.53,11.55,7.74,1.10,-3.81,-7.14
1923,-5.27,-10.74,-3.32,-0.95,4.72,7.70,13.66,10.76,7.60,2.80,-4.50,-9.20
1924,-9.19,-11.03,-7.66,-1.33,5.36,9.69,14.37,13.52,9.32,4.55,-1.87,-3.07
1925,-3.28,-5.08,-6.93,1.78,6.92,11.54,16.90,13.00,8.02,0.39,-6.73,-10.24
1926,-10.22,-10.30,-3.50,0.78,5.16,11.33,14.84,13.17,7.74,-0.85,-2.09,-8.45
1927,-8.03,-6.47,-2.94,-0.41,3.92,9.84,16.45,13.83,7.62,1.07,-7.32,-10.50
1928,-8.63,-7.19,-4.46,0.67,5.50,8.82,11.35,11.38,7.50,2.04,-3.15,-7.18
1929,-9.69,-12.97,-2.50,-2.54,6.43,10.07,12.16,11.08,8.38,3.05,-0.93,-1.66
1930,-3.80,-6.21,-3.63,1.96,7.77,12.77,15.45,13.81,6.88,3.31,-2.93,-4.91
1931,-9.75,-9.16,-7.36,-0.35,7.06,8.69,14.11,11.61,5.72,1.67,-0.44,-5.62
1932,-3.96,-4.95,-5.12,0.47,6.08,10.01,15.03,12.71,7.53,0.69,-2.20,-2.62
1933,-6.04,-8.93,-4.20,-0.02,5.98,13.64,15.22,12.58,8.66,3.10,-4.49,-6.58
1934,-3.57,-4.46,-3.50,0.61,7.84,11.41,15.19,13.99,11.04,4.04,-2.12,-3.49
1935,-7.79,-6.46,-4.84,0.88,4.54,11.65,13.90,12.33,7.39,2.90,-0.47,-4.81
1936,-8.47,-11.02,-5.07,-0.29,7.52,14.18,15.00,13.04,7.67,1.17,-1.16,-2.10
1937,-6.59,-10.13,-6.34,2.70,8.86,12.45,16.40,15.46,8.60,4.91,-2.55,-8.43
1938,-6.77,-3.24,-0.84,1.31,6.12,11.04,15.24,14.29,9.60,4.78,0.26,-4.92
1939,-7.68,-3.32,-4.24,0.31,5.96,11.49,14.50,15.16,8.31,0.87,-1.72,-9.35
1940,-12.81,-13.95,-9.43,-0.89,8.00,12.94,13.92,11.55,7.22,2.67,-3.36,-8.16
1941,-14.50,-11.27,-6.73,-1.63,5.19,11.06,16.94,11.84,7.58,0.72,-4.23,-9.74
1942,-16.70,-13.56,-9.74,0.72,4.97,10.08,13.25,12.81,8.03,2.74,-2.50,-6.61
1943,-10.58,-3.72,-1.16,1.96,7.12,12.41,13.99,11.88,8.47,4.26,-2.08,-4.15
1944,-6.99,-6.04,-4.56,-0.87,4.83,9.96,14.79,13.73,8.29,4.34,-2.35,-3.31
1945,-10.10,-6.04,-2.81,2.11,6.16,11.29,15.57,14.29,7.63,1.78,-2.73,-8.19
1946,-7.13,-10.48,-5.84,1.88,6.91,10.95,15.16,12.83,9.46,2.05,-2.64,-4.16
1947,-7.95,-15.78,-9.53,0.33,8.16,13.43,15.40,14.24,10.19,2.44,-4.91,-7.95
1948,-12.27,-7.33,-1.56,2.87,7.32,11.20,14.88,11.63,8.48,1.89,-2.25,-2.57
1949,-5.04,-3.55,-4.67,1.53,7.65,10.84,13.54,11.67,11.03,3.34,-0.49,-5.00
1950,-11.12,-7.29,-2.93,2.09,7.06,12.08,13.60,14.21,8.67,3.80,-3.43,-7.89
1951,-11.23,-7.55,-7.28,0.66,4.67,10.14,12.27,14.06,9.49,4.68,-2.94,-4.04
1952,-8.24,-7.21,-6.80,2.36,5.93,10.55,13.18,11.07,6.11,0.52,-5.29,-8.88
1953,-8.53,-10.17,-1.09,1.99,6.66,14.91,14.07,12.81,7.92,5.25,-0.31,-3.20
1954,-8.88,-11.06,-3.62,-0.03,8.23,11.11,13.97,12.40,8.18,2.08,-3.62,-3.66
1955,-9.56,-10.95,-6.68,-1.85,3.90,9.46,15.29,14.60,9.80,1.88,-3.57,-11.53
1956,-10.66,-12.98,-4.82,-1.84,6.82,11.05,13.72,10.57,7.73,2.13,-6.92,-6.86
1957,-5.61,-7.38,-5.63,0.46,5.19,9.89,14.90,12.21,7.01,3.16,-1.89,-6.35
1958,-10.96,-11.61,-8.64,-0.92,5.20,10.87,12.83,12.62,9.38,4.62,0.29,-8.65
1959,-10.46,-3.86,-0.85,1.42,6.97,11.92,14.75,13.93,8.17,3.48,-1.34,-5.72
1960,-10.60,-10.73,-3.94,1.04,7.95,12.85,14.23,12.86,8.58,0.32,-3.22,-6.20
1961,-9.04,-4.37,-1.38,0.64,6.39,12.92,13.61,11.76,9.26,6.95,-0.91,-9.26
1962,-7.87,-7.09,-9.54,1.19,5.24,10.01,11.96,10.72,7.40,4.34,-3.02,-9.20
1963,-11.58,-12.11,-7.40,0.80,8.78,11.75,13.11,13.22,9.50,3.89,-3.35,-6.39
1964,-4.70,-8.72,-5.02,1.40,7.51,10.60,12.70,11.47,7.34,4.23,-2.48,-6.09
1965,-8.34,-7.01,-5.46,1.15,4.69,11.52,11.73,11.27,9.61,4.04,-6.65,-11.77
1966,-14.35,-16.21,-6.53,-2.25,5.99,13.96,13.99,11.63,6.66,2.16,-2.34,-6.28
1967,-12.68,-5.92,-1.08,0.74,6.15,10.99,13.58,12.97,9.59,3.78,0.07,-11.23
1968,-13.00,-9.88,-3.42,1.96,4.67,12.83,12.94,12.52,8.15,0.21,-5.57,-5.71
1969,-9.47,-12.77,-7.39,0.39,5.56,13.36,14.35,15.14,8.11,3.93,-5.23,-9.83
1970,-12.21,-15.06,-4.77,-1.51,6.61,14.21,13.26,12.99,7.62,2.98,-4.85,-5.10
1971,-7.09,-7.12,-7.54,-0.31,6.88,11.30,13.56,12.48,7.43,2.89,-5.39,-4.00
1972,-10.18,-7.26,-3.42,0.66,6.28,12.93,16.09,12.64,7.23,3.05,-2.67,-2.18
1973,-3.95,-6.44,-1.11,0.01,6.58,12.79,16.49,11.95,6.47,0.25,-5.79,-9.15
1974,-4.81,-4.33,-3.09,2.31,6.79,12.34,12.95,12.45,9.44,1.83,-2.95,-4.83
1975,-5.31,-4.26,-2.36,0.38,7.17,10.52,13.93,13.68,9.39,3.68,-1.38,-4.87
1976,-11.71,-6.34,-6.41,0.22,7.82,11.32,13.80,13.22,5.89,1.52,-3.01,-8.86
1977,-9.56,-10.91,-3.14,-1.43,5.77,10.98,12.54,12.02,6.86,3.60,-2.42,-5.35
1978,-8.50,-11.71,-4.91,-0.55,6.76,12.23,13.33,11.91,6.82,2.65,-1.66,-13.65
1979,-13.66,-10.99,-4.11,-0.04,6.36,12.94,13.14,12.37,7.67,1.13,-3.07,-7.37
1980,-11.59,-11.74,-6.89,1.70,6.38,13.63,14.86,12.64,9.05,1.29,-6.45,-8.33
1981,-8.91,-8.75,-7.58,0.56,8.22,9.91,13.50,11.74,8.40,2.50,-4.15,-13.44
1982,-12.70,-6.88,-2.26,1.12,6.22,9.67,14.46,13.10,8.14,3.30,-1.31,-5.43
1983,-5.56,-7.87,-3.85,1.58,7.72,11.10,14.36,12.34,8.79,3.16,-4.60,-7.18
1984,-10.56,-5.58,-6.11,1.98,9.10,11.57,13.06,12.70,7.13,4.09,-2.65,-4.26
1985,-14.53,-16.42,-4.91,-1.33,6.04,11.44,13.86,12.57,7.03,4.33,-5.41,-11.83
1986,-13.07,-11.23,-2.56,-0.87,7.94,13.46,13.62,10.54,5.55,3.71,-0.39,-9.27
1987,-16.43,-9.59,-8.13,0.82,5.36,9.89,12.76,10.07,7.21,5.33,-2.84,-6.97
1988,-5.99,-7.05,-5.83,-0.67,7.83,13.39,15.37,12.27,9.27,2.32,-5.05,-7.35
1989,-2.67,-2.87,-1.01,2.03,7.72,12.31,13.76,12.35,8.91,3.04,-1.54,-7.61
1990,-6.83,-0.83,-0.80,2.62,7.73,12.34,13.61,13.38,7.57,3.80,-3.67,-3.87
1991,-5.75,-9.90,-2.81,1.80,5.43,9.78,14.97,13.86,7.54,3.13,-1.59,-3.42
1992,-4.04,-3.66,-1.14,-0.51,8.93,14.11,13.29,11.77,8.60,-1.27,-3.92,-3.54
1993,-5.59,-4.93,-2.83,1.61,8.68,9.71,13.33,11.17,5.91,1.26,-3.88,-7.50
1994,-9.88,-12.29,-4.16,2.55,6.09,10.40,16.30,13.53,7.82,2.08,-2.66,-3.27
1995,-7.08,-4.41,-2.25,0.28,5.65,12.04,13.31,13.13,8.19,4.74,-4.83,-10.02
1996,-7.82,-11.08,-4.61,1.24,4.93,11.11,12.72,15.08,7.33,4.28,-3.88,-8.65
1997,-6.64,-5.74,-2.53,-0.60,5.48,12.98,16.17,15.48,9.47,1.48,-3.54,-5.84
1998,-5.93,-5.71,-4.69,-0.04,6.73,10.80,13.63,11.51,9.06,2.83,-5.67,-6.38
1999,-8.90,-7.91,-3.40,2.60,5.97,12.68,14.59,11.96,10.91,3.74,0.48,-8.34
2000,-5.57,-5.14,-3.10,2.36,8.44,11.01,13.48,12.37,8.35,6.28,1.09,-4.61
2001,-5.81,-9.52,-6.37,1.35,6.83,11.94,15.06,13.05,9.03,4.97,-2.83,-8.29
2002,-7.52,-4.38,-2.75,3.12,9.10,14.16,15.64,15.85,9.01,0.02,-5.91,-9.97
2003,-11.30,-6.86,-1.67,1.14,7.61,12.37,16.95,13.71,9.03,1.44,-1.60,-5.33
2004,-9.47,-6.64,-2.75,3.07,7.60,11.10,13.95,14.18,9.33,3.41,-3.57,-4.18
2005,-4.94,-6.88,-5.81,2.59,6.53,11.93,15.85,13.20,9.48,4.77,-0.38,-6.60
2006,-7.53,-8.16,-8.01,1.80,7.87,12.82,15.91,15.39,10.81,4.17,-0.90,-1.43
2007,-6.69,-9.69,-0.40,2.96,7.42,13.16,14.33,13.55,7.97,4.14,-2.81,-3.35
2008,-4.57,-3.30,-3.72,2.33,7.69,12.36,14.88,12.31,7.96,4.02,-2.26,-4.57
2009,-6.98,-9.01,-3.27,3.02,8.44,11.42,14.57,13.94,9.79,1.23,-0.26,-8.21
2010,-12.47,-11.79,-5.17,1.97,7.28,11.13,15.96,13.09,8.41,3.04,-6.54,-12.54
2011,-8.43,-10.41,-3.42,4.24,7.82,13.75,15.45,13.43,10.23,4.62,0.94,-3.22
2012,-7.80,-8.50,-0.49,0.67,7.21,10.72,13.84,12.71,8.28,2.28,-0.89,-10.22
2013,-8.78,-7.08,-7.47,0.78,9.83,13.23,14.56,13.62,9.48,3.92,-1.46,-3.05
2014,-9.08,-2.60,-0.69,2.84,7.46,11.77,17.11,13.87,9.67,4.38,-1.19,-5.43
2015,-7.02,-4.76,-0.73,2.41,6.42,10.44,13.16,14.29,9.90,3.84,-0.26,-2.91
2016,-11.03,-5.13,-1.81,2.05,8.97,12.47,14.89,12.53,10.63,3.12,-3.37,-3.93
2017,-6.30,-6.23,-2.38,0.60,6.49,11.93,13.69,12.53,9.43,3.95,-2.48,-5.58
2018,-7.52,-9.54,-6.77,2.42,10.51,12.31,17.52,13.82,9.69,3.69,-0.38,-4.87
2019,-8.94,-5.30,-3.04,3.71,6.61,13.24,14.42,13.84,8.59,2.13,-3.57,-3.70
2020,-3.58,-4.06,-2.17,1.81,5.79,15.06,13.33,13.83,9.53,4.76,0.83,-3.27
